category,temperature,humidity,v_no2,v_etoh,v_voc,v_co
0,20.0,46.9,0.1709,0.5103,0.6922,1.049
0,20.0,46.9,0.1697,0.5205,0.6932,1.0533
0,20.0,46.9,0.1761,0.5144,0.6916,1.0449
0,20.0,46.9,0.1821,0.507,0.6955,1.0388
0,20.0,46.9,0.1841,0.5108,0.6979,1.0558
0,20.0,46.9,0.1768,0.5114,0.687,1.0481
0,20.0,46.9,0.1839,0.5107,0.6926,1.0478
0,20.0,46.9,0.1719,0.501,0.6992,1.0549
0,20.0,46.9,0.1719,0.5061,0.694,1.0394
0,20.0,46.9,0.1725,0.5215,0.6945,1.0525
0,20.0,46.9,0.1758,0.5039,0.697,1.0533
0,20.0,46.9,0.165,0.506,0.688,1.053
0,20.0,46.9,0.1687,0.5168,0.6785,1.0454
0,20.0,46.9,0.1666,0.505,0.6908,1.0461
0,20.0,46.9,0.1716,0.5055,0.6927,1.0526
0,20.0,46.9,0.1627,0.5101,0.698,1.0442
0,20.0,46.9,0.1681,0.5122,0.693,1.0522
0,20.0,46.9,0.1958,0.5061,0.6889,1.0499
0,20.0,46.9,0.1805,0.5182,0.6908,1.0467
0,20.0,46.9,0.1704,0.5125,0.6981,1.0587
0,20.0,46.9,0.183,0.5079,0.6896,1.0465
0,20.0,46.9,0.1827,0.5022,0.6917,1.0497
0,20.0,46.9,0.1769,0.5033,0.688,1.0456
0,20.0,46.9,0.1807,0.515,0.6918,1.0458
0,20.0,46.9,0.1667,0.5102,0.6969,1.0523
0,20.0,46.9,0.177,0.5093,0.6889,1.0496
0,20.0,46.9,0.1836,0.5117,0.6867,1.0478
0,20.0,46.9,0.171,0.4957,0.6902,1.0489
0,20.0,46.9,0.1837,0.4966,0.6833,1.0551
0,20.0,46.9,0.1788,0.5094,0.6933,1.0425
0,20.0,47.0,0.1856,0.5123,0.6851,1.05
0,20.0,47.0,0.1781,0.5133,0.6912,1.0479
0,20.0,46.9,0.1839,0.5225,0.693,1.0452
